time,logger,temperature,Name,x,y
2023-05-15,201,13.280462962962961,Robert-Walser-Platz,7.241111393028388,47.13079517749481
2023-05-15,202,13.379717391304354,Hafen,7.236273281519853,47.130697668001005
2023-05-15,203,13.580550724637689,Zentralplatz,7.2469608738162705,47.136632907460786
2023-05-15,204,13.131070853462152,Stadtpark,7.253368987131442,47.14103925664875
2023-05-15,205,18.300897745571646,Ile de la Suze,7.265148929721899,47.14474113093907
2023-05-15,206,12.503071658615136,rural reference,7.295157258049944,47.13854844317897
2023-05-15,207,12.583752012882455,Swiss Meteo Reference,7.415043620428569,47.17900519328959
2023-05-15,208,12.996920289855064,Möösli,7.262326212167894,47.13000983323275
2023-05-15,209,18.415974235104677,Madrestch-Piano,7.25576387028088,47.135385241082226
2023-05-15,210,13.348896940418689,Congresshaus,7.248791114258848,47.134961027557246
2023-05-15,211,18.77530998389693,Mühlefeld,7.249229243522805,47.12814316650811
2023-05-15,212,12.874043478260882,Seepark,7.230545882730043,47.133873786834684
2023-05-15,213,12.983590982286627,Port NBK,7.253961623819155,47.11991929762015
2023-05-15,214,,Längholz,7.266219234607871,47.12849563209389
2023-05-15,215,13.382234299516911,Old City,7.245634985865393,47.14201400637538
2023-05-15,216,13.251380837359095,Nidau-mittestrasse,7.238831053622557,47.125199475937286
2023-05-15,217,12.811936392914651,Geyisreid,7.283673321069929,47.14427564935802
2023-05-15,218,13.655471014492763,Bahnhof,7.243143648481159,47.13334736683636
2023-05-15,219,18.764804347826054,New City,7.246485268059931,47.13873185875089
2023-05-15,220,13.367576489533013,Altersheim-Neumarkt,7.2512860040606695,47.13730019991995
2023-05-15,221,13.390124798711762,Champagne-Piano,7.263613252816366,47.14665459886711
2023-05-15,222,12.55125201288244,Spital,7.244246935126219,47.147034375760036
2023-05-15,223,13.22977858293076,Altersheim-erlacher,7.2573452439864825,47.1258438271483
2023-05-15,224,12.937950885668284,Bözingen,7.271159682945557,47.15111046676412
2023-05-15,225,13.179102254428347,Swisstennis,7.2784280163168065,47.159005975110944
2023-05-15,226,13.3158574879227,Port Thielle,7.25094956021827,47.12243292332993
2023-05-15,227,13.076557971014502,Altersheim-redenweg,7.260944155574042,47.15039277997535
2023-05-15,228,12.949412238325277,Südstrasse,7.271442786808509,47.14221612603856
2023-05-15,229,13.311724637681165,Viaductstrasse,7.238633407181197,47.135700564647706
2023-05-15,230,12.958963768115952,Vingelz,7.220957635875876,47.13074150165554
2023-05-15,231,21.49998389694041,Nidau-Lac,7.232283739199284,47.12621951507841
2023-05-15,232,13.426694847020936,Champagne-Blumen,7.255567533607622,47.14423869874925
2023-05-15,233,18.45534057971012,Madretsch-Zukunft,7.249217573272106,47.13327968634356
2023-05-15,234,12.8947383252818,Bözingenfeld,7.292273509911332,47.15891885527405
2023-05-15,235,12.680970209339772,Altersheim-Reid,7.256578930803547,47.15067194726373
2023-05-15,236,12.954492753623187,Taubenloch,7.267614387206042,47.15370810175957
2023-05-15,237,12.985764895330117,Rolex,7.292424384479668,47.16303529232208
2023-05-15,238,18.518268115942014,Museum,7.241696082617558,47.13892945858104
2023-05-15,239,,Nidau-wald,7.232609634845101,47.12543119683497
2023-05-15,240,,Längholz-replacement,7.26624170539283,47.128434760378624
2023-05-16,201,11.60429398148148,Robert-Walser-Platz,7.241111393028388,47.13079517749481
2023-05-16,202,11.640618055555567,Hafen,7.236273281519853,47.130697668001005
2023-05-16,203,11.800604166666675,Zentralplatz,7.2469608738162705,47.136632907460786
2023-05-16,204,11.27103780864196,Stadtpark,7.253368987131442,47.14103925664875
2023-05-16,205,11.21529706790123,Ile de la Suze,7.265148929721899,47.14474113093907
2023-05-16,206,10.931836419753079,rural reference,7.295157258049944,47.13854844317897
2023-05-16,207,11.287469135802464,Swiss Meteo Reference,7.415043620428569,47.17900519328959
2023-05-16,208,11.204733796296294,Möösli,7.262326212167894,47.13000983323275
2023-05-16,209,11.559926697530852,Madrestch-Piano,7.25576387028088,47.135385241082226
2023-05-16,210,11.621867283950612,Congresshaus,7.248791114258848,47.134961027557246
2023-05-16,211,11.461141975308626,Mühlefeld,7.249229243522805,47.12814316650811
2023-05-16,212,11.328555555555562,Seepark,7.230545882730043,47.133873786834684
2023-05-16,213,11.370027006172835,Port NBK,7.253961623819155,47.11991929762015
2023-05-16,214,,Längholz,7.266219234607871,47.12849563209389
2023-05-16,215,11.368823302469123,Old City,7.245634985865393,47.14201400637538
2023-05-16,216,11.551971450617277,Nidau-mittestrasse,7.238831053622557,47.125199475937286
2023-05-16,217,11.128614969135803,Geyisreid,7.283673321069929,47.14427564935802
2023-05-16,218,11.971465277777785,Bahnhof,7.243143648481159,47.13334736683636
2023-05-16,219,11.790437500000014,New City,7.246485268059931,47.13873185875089
2023-05-16,220,11.626080246913583,Altersheim-Neumarkt,7.2512860040606695,47.13730019991995
2023-05-16,221,11.315844907407389,Champagne-Piano,7.263613252816366,47.14665459886711
2023-05-16,222,10.43962191358026,Spital,7.244246935126219,47.147034375760036
2023-05-16,223,11.444147376543206,Altersheim-erlacher,7.2573452439864825,47.1258438271483
2023-05-16,224,11.230092592592586,Bözingen,7.271159682945557,47.15111046676412
2023-05-16,225,11.27793595679012,Swisstennis,7.2784280163168065,47.159005975110944
2023-05-16,226,11.53743441358024,Port Thielle,7.25094956021827,47.12243292332993
2023-05-16,227,11.060543981481477,Altersheim-redenweg,7.260944155574042,47.15039277997535
2023-05-16,228,11.240991512345676,Südstrasse,7.271442786808509,47.14221612603856
