time,logger,temperature,Name,x,y
2023-08-12,201,20.234,Robert-Walser-Platz,7.241111393028388,47.13079517749481
2023-08-12,202,20.043,Hafen,7.236273281519853,47.130697668001005
2023-08-12,203,20.901,Zentralplatz,7.2469608738162705,47.136632907460786
2023-08-12,204,19.567,Stadtpark,7.253368987131442,47.14103925664875
2023-08-12,205,19.282,Ile de la Suze,7.265148929721899,47.14474113093907
2023-08-12,206,16.999,rural reference,7.295157258049944,47.13854844317897
2023-08-12,207,17.665,Swiss Meteo Reference,7.415043620428569,47.17900519328959
2023-08-12,208,18.901,Möösli,7.262326212167894,47.13000983323275
2023-08-12,209,20.424,Madrestch-Piano,7.25576387028088,47.135385241082226
2023-08-12,210,20.519,Congresshaus,7.248791114258848,47.134961027557246
2023-08-12,211,19.853,Mühlefeld,7.249229243522805,47.12814316650811
2023-08-12,212,19.092,Seepark,7.230545882730043,47.133873786834684
2023-08-12,213,18.616,Port NBK,7.253961623819155,47.11991929762015
2023-08-12,214,18.996,Längholz,7.266219234607871,47.12849563209389
2023-08-12,215,20.043,Old City,7.245634985865393,47.14201400637538
2023-08-12,216,19.758,Nidau-mittestrasse,7.238831053622557,47.125199475937286
2023-08-12,217,18.711,Geyisreid,7.283673321069929,47.14427564935802
2023-08-12,218,20.519,Bahnhof,7.243143648481159,47.13334736683636
2023-08-12,219,20.901,New City,7.246485268059931,47.13873185875089
2023-08-12,220,20.519,Altersheim-Neumarkt,7.2512860040606695,47.13730019991995
2023-08-12,221,19.948,Champagne-Piano,7.263613252816366,47.14665459886711
2023-08-12,222,19.662,Spital,7.244246935126219,47.147034375760036
2023-08-12,223,19.758,Altersheim-erlacher,7.2573452439864825,47.1258438271483
2023-08-12,224,19.472,Bözingen,7.271159682945557,47.15111046676412
2023-08-12,225,19.567222222222224,Swisstennis,7.2784280163168065,47.159005975110944
2023-08-12,226,19.377,Port Thielle,7.25094956021827,47.12243292332993
2023-08-12,227,19.567,Altersheim-redenweg,7.260944155574042,47.15039277997535
2023-08-12,228,18.996,Südstrasse,7.271442786808509,47.14221612603856
2023-08-12,229,19.948,Viaductstrasse,7.238633407181197,47.135700564647706
2023-08-12,230,19.853,Vingelz,7.220957635875876,47.13074150165554
2023-08-12,231,19.282,Nidau-Lac,7.232283739199284,47.12621951507841
2023-08-12,232,20.234,Champagne-Blumen,7.255567533607622,47.14423869874925
2023-08-12,233,20.424,Madretsch-Zukunft,7.249217573272106,47.13327968634356
2023-08-12,234,18.521,Bözingenfeld,7.292273509911332,47.15891885527405
2023-08-12,235,19.092,Altersheim-Reid,7.256578930803547,47.15067194726373
2023-08-12,236,18.996,Taubenloch,7.267614387206042,47.15370810175957
2023-08-12,237,18.901,Rolex,7.292424384479668,47.16303529232208
2023-08-12,238,19.567,Museum,7.241696082617558,47.13892945858104
2023-08-12,239,19.377,Nidau-wald,7.232609634845101,47.12543119683497
2023-08-12,240,,Längholz-replacement,7.26624170539283,47.128434760378624
2023-08-13,201,19.853,Robert-Walser-Platz,7.241111393028388,47.13079517749481
2023-08-13,202,19.853,Hafen,7.236273281519853,47.130697668001005
2023-08-13,203,20.71,Zentralplatz,7.2469608738162705,47.136632907460786
2023-08-13,204,19.472,Stadtpark,7.253368987131442,47.14103925664875
2023-08-13,205,19.567,Ile de la Suze,7.265148929721899,47.14474113093907
2023-08-13,206,16.903,rural reference,7.295157258049944,47.13854844317897
2023-08-13,207,17.284,Swiss Meteo Reference,7.415043620428569,47.17900519328959
2023-08-13,208,18.711,Möösli,7.262326212167894,47.13000983323275
2023-08-13,209,20.424,Madrestch-Piano,7.25576387028088,47.135385241082226
2023-08-13,210,20.424,Congresshaus,7.248791114258848,47.134961027557246
2023-08-13,211,19.377,Mühlefeld,7.249229243522805,47.12814316650811
2023-08-13,212,18.996,Seepark,7.230545882730043,47.133873786834684
2023-08-13,213,18.806,Port NBK,7.253961623819155,47.11991929762015
2023-08-13,214,18.711,Längholz,7.266219234607871,47.12849563209389
2023-08-13,215,20.138,Old City,7.245634985865393,47.14201400637538
2023-08-13,216,19.567,Nidau-mittestrasse,7.238831053622557,47.125199475937286
2023-08-13,217,18.616,Geyisreid,7.283673321069929,47.14427564935802
2023-08-13,218,20.234,Bahnhof,7.243143648481159,47.13334736683636
2023-08-13,219,20.71,New City,7.246485268059931,47.13873185875089
2023-08-13,220,20.615,Altersheim-Neumarkt,7.2512860040606695,47.13730019991995
2023-08-13,221,20.138,Champagne-Piano,7.263613252816366,47.14665459886711
