7,9,14,15,16,20,22,24,25,27,buffer,logger,geometry_coords,lon,lat
0,0,0,0,0,5,3,0,0,0,10,1,"[(7.422661373062856, 46.95292002979978), (7.422660743280325, 46.95291121289941), (7.4226588544401, 46.95290248072361), (7.422655724733334, 46.95289391736791), (7.422651384301369, 46.95288560530204), (7.422645874945414, 46.95287762457558), (7.422639249723977, 46.952870052047224), (7.422631572441852, 46.95286296064421), (7.422622917035647, 46.95285641866053), (7.422613366861709, 46.952850489098815), (7.422603013893381, 46.95284522906385), (7.422591957835227, 46.95284068921234), (7.42258030516283, 46.95283691326537), (7.422568168097406, 46.952833937587265), (7.422555663525052, 46.952831790835276), (7.42254291187109, 46.952830493683685), (7.422530035940311, 46.95283005862477), (7.422517159734363, 46.95283048984825), (7.4225044072575255, 46.952831783201276), (7.422491901322522, 46.95283392622827), (7.422479762367801, 46.952836898290755), (7.42246810729765, 46.95284067076631), (7.422457048356375, 46.95284520732403), (7.4224466920473295, 46.952850464274654), (7.4224371381072425, 46.952856390991045), (7.42242847854573, 46.95286293039589), (7.422420796759161, 46.95287001951134), (7.422414166727515, 46.95287759006553), (7.422408652301919, 46.95288556915009), (7.422404306589696, 46.952893879922264), (7.422401171442912, 46.952902442344865), (7.4223992770552965, 46.952911173957226), (7.422398641671427, 46.952919990669145), (7.422399271411016, 46.952928807570956), (7.422401160209946, 46.952937539751005), (7.4224042898786475, 46.95294610311356), (7.422408630277245, 46.95295441518872), (7.4224141396058085, 46.95296239592648), (7.422420764806892, 46.952969968467805), (7.422428442076472, 46.95297705988478), (7.422437097478432, 46.95298360188302), (7.422446647656578, 46.95298953145927), (7.422457000637418, 46.95299479150828), (7.422468056715893, 46.95299933137271), (7.422479709415645, 46.953003107330964), (7.422491846514412, 46.95300608301838), (7.422504351124811, 46.953008229777254), (7.42251710282006, 46.95300952693307), (7.422529978793773, 46.95300996199349), (7.422542855042667, 46.95300953076854), (7.422555607560796, 46.95300823741129), (7.422568113533863, 46.95300609437739), (7.422580252521951, 46.953003122305624), (7.42259190761949, 46.95299934981879), (7.422602966581125, 46.952994813248125), (7.422613322902714, 46.95298955628351), (7.422622876847051, 46.9529836295526), (7.4226315364043485, 46.952977090133174), (7.4226392181784115, 46.952970001003735), (7.422645848189735, 46.95296243043662), (7.422651362587975, 46.95295445134071), (7.422655708266856, 46.95294614055927), (7.422658843375592, 46.95293757812973), (7.422660737721926, 46.95292884651316), (7.422661373062856, 46.95292002979978)]",7.42253000736709,46.95292001032794
0,0,0,0,0,1,8,0,0,0,10,2,"[(7.40646134957704, 46.94333004838609), (7.406460722567061, 46.94332123138209), (7.40645883669872, 46.943312498924676), (7.406455710134552, 46.943303935112084), (7.406451372985634, 46.943295622418454), (7.4064458670215565, 46.94328764089935), (7.406439245268161, 46.94328006742113), (7.406431571496842, 46.943272974920234), (7.406422919610403, 46.94326643170117), (7.406413372931288, 46.943260500778536), (7.406403023399185, 46.94325523927008), (7.406391970685564, 46.94325069784684), (7.4063803212338035, 46.943246920244995), (7.406368187234098, 46.9432439428448), (7.4063556855430175, 46.94324179432008), (7.406342936558144, 46.94324049536222), (7.406330063058565, 46.94324005848077), (7.406317189022507, 46.94324048788322), (7.4063044384333585, 46.94324177943415), (7.406291934085658, 46.94324392069523), (7.406279796402574, 46.94324689104515), (7.406268142276139, 46.94325066187792), (7.40625708394158, 46.943255196878496), (7.406246727896401, 46.94326045237251), (7.406237173874793, 46.94326637774691), (7.406228513887157, 46.943272915937314), (7.406220831333961, 46.94328000397758), (7.406214200202573, 46.943287573606206), (7.406208684354703, 46.94329555192372), (7.406204336911385, 46.94330386209475), (7.406201199741341, 46.94331242408787), (7.4061993030577895, 46.943321155446554), (7.406198665127424, 46.94332997208311), (7.406199292094476, 46.943338789088564), (7.406201177921532, 46.94334752155024), (7.406204304447641, 46.94335608536971), (7.406208641563194, 46.94336439807263), (7.406214147499878, 46.943372379603), (7.406220769232909, 46.94337995309414), (7.40622844299167, 46.94338704560904), (7.406237094873846, 46.94339358884265), (7.406246641557152, 46.94339951977986), (7.406256991101741, 46.94340478130229), (7.406268043835659, 46.94340932273844), (7.406279693314759, 46.94341310035163), (7.406291827347781, 46.943416077761114), (7.406304329076883, 46.94341822629277), (7.406317078103022, 46.94341952525489), (7.406329951645522, 46.94341996213774), (7.40634282572451, 46.94341953273389), (7.406355576354945, 46.94341824117875), (7.4063680807407, 46.9434160999107), (7.406380218457151, 46.94341312955153), (7.406391872610977, 46.94340935870749), (7.406402930965901, 46.94340482369402), (7.40641328702364, 46.943399568186024), (7.406422841049509, 46.94339364279705), (7.406431501032956, 46.94338710459206), (7.406439183573667, 46.943380016537816), (7.406445814684757, 46.943372446896255), (7.40645133050529, 46.943364468567424), (7.406455677915291, 46.943356158387125), (7.40645881504731, 46.94334759638704), (7.406460711689596, 46.94333886502411), (7.40646134957704, 46.94333004838609)]",7.40633000735214,46.94333001032811
0,0,0,0,0,5,3,0,0,0,10,3,"[(7.4493813623048295, 46.94850999913555), (7.449380728186143, 46.948501182375836), (7.449378835155417, 46.948492450634575), (7.449375701444161, 46.94848388800309), (7.449371357232278, 46.948475576944176), (7.449365844357378, 46.948467597497675), (7.449359215911864, 46.948460026509935), (7.449351535731573, 46.948452936893474), (7.449342877781031, 46.94844639692496), (7.449333325441082, 46.94844046958766), (7.449322970705928, 46.94843521196488), (7.449311913297155, 46.948430674690236), (7.449300259703346, 46.94842690145987), (7.449288122154591, 46.948423928611994), (7.449275617541642, 46.94842178477656), (7.449262866290215, 46.94842049059983), (7.449249991201224, 46.94842005854533), (7.449237116268203, 46.948420492774005), (7.449224365483184, 46.94842178910393), (7.449211861642589, 46.948423935050876), (7.449199725164701, 46.94842690994827), (7.449188072929953, 46.948430685146384), (7.44917701715534, 46.94843522428816), (7.449166664313726, 46.94844048365932), (7.449157114108447, 46.9484464126095), (7.449148458513149, 46.94845295403985), (7.449140780886003, 46.94846004495304), (7.449134155166936, 46.94846761705988), (7.449128645165536, 46.948475597437046), (7.449124303946527, 46.94848390922929), (7.449121173318694, 46.948492472389674), (7.449119283432255, 46.948501204450366), (7.449118652488435, 46.94851002131689), (7.449119286564187, 46.948518838078066), (7.449121179553633, 46.948527569823554), (7.449124313226849, 46.948536132461975), (7.449128657405393, 46.9485444435302), (7.449134170252927, 46.94855242298796), (7.449140798678115, 46.94855999398864), (7.449148478845891, 46.94856708361913), (7.449157136792216, 46.94857362360219), (7.449166689136406, 46.94857955095402), (7.449177043884089, 46.94858480859082), (7.449188101313211, 46.94858934587839), (7.449199754934399, 46.94859311912005), (7.449211892516506, 46.9485960919772), (7.449224397167507, 46.94859823581952), (7.449237148460223, 46.948599530000514), (7.449250023592144, 46.948599962056434), (7.449262898568097, 46.948599527826346), (7.449275649394399, 46.948598231492156), (7.449288153273036, 46.94859608553828), (7.449300289784267, 46.9485931106316), (7.449311942046377, 46.94858933542216), (7.449322997841313, 46.94858479626753), (7.449333350695444, 46.94857953688232), (7.449342900904943, 46.94857360791759), (7.4493515564960004, 46.94856706647268), (7.449359234110614, 46.948559975545486), (7.449365859809333, 46.94855240342575), (7.449371369783359, 46.94854442303727), (7.4493757109690115, 46.94853611123577), (7.44937884155879, 46.948527548068455), (7.449380731403944, 46.94851881600353), (7.4493813623048295, 46.94850999913555)]",7.449250007396656,46.9485100103197
0,7,0,0,0,0,1,0,0,0,10,4,"[(7.387461440292875, 46.980410070204314), (7.387460815971734, 46.980401253154824), (7.387458931892412, 46.98039252044243), (7.387455806200213, 46.98038395616782), (7.387451468997818, 46.980375642809555), (7.387445962055334, 46.98036766042968), (7.387439338408023, 46.980360085902724), (7.387431661845529, 46.98035299217535), (7.387423006297522, 46.98034644756379), (7.387413455121715, 46.98034051509605), (7.387403100301104, 46.98033525190482), (7.387392041558095, 46.98033070867728), (7.387380385394124, 46.98032692916711), (7.38736824406403, 46.98032394977276), (7.3873557344949825, 46.980321799187365), (7.387342977160425, 46.980320498122104), (7.387330094919859, 46.98032005910699), (7.387317211835691, 46.98032048636979), (7.387304451978449, 46.98032177579591), (7.387291938231928, 46.9803239149674), (7.387279791109804, 46.980326883283055), (7.387268127595023, 46.98033065215644), (7.387257060013213, 46.980335185291516), (7.387246694950946, 46.98034043903175), (7.387237132229241, 46.980346362781084), (7.387228463942295, 46.98035289949072), (7.387220773570496, 46.980359986208796), (7.387214135176513, 46.98036755468653), (7.3872086126920005, 46.98037553203555), (7.387204259301896, 46.98038384142978), (7.387201116932204, 46.98039240284535), (7.387199215846222, 46.980401133831194), (7.3871985743530315, 46.98040995030331), (7.387199198631182, 46.98041876735419), (7.387201082669155, 46.98042750007081), (7.387204208323234, 46.98043606435232), (7.387208545492204, 46.98044437771985), (7.387214052407243, 46.980452360111016), (7.387220676034139, 46.98045993465087), (7.3872283525840405, 46.98046702839225), (7.387237008127758, 46.98047357301834), (7.387246559307739, 46.980479505500675), (7.38725691414083, 46.980484768705914), (7.387267972904151, 46.980489311946364), (7.387279629095479, 46.98049309146789), (7.3872917704589245, 46.98049607087149), (7.387304280066038, 46.98049822146387), (7.387317037441913, 46.98049952253332), (7.387329919725453, 46.980499961549945), (7.387342802852611, 46.98049953428569), (7.387355562751205, 46.98049824485542), (7.3873680765358465, 46.98049610567697), (7.387380223691394, 46.98049313735207), (7.387391887233621, 46.98048936846737), (7.387402954835839, 46.98048483531943), (7.387413319910705, 46.98047958156517), (7.387422882636698, 46.9804736578013), (7.387431550919471, 46.98046712107706), (7.387439241278787, 46.980460034345015), (7.3874458796524625, 46.980452465854334), (7.387451402109619, 46.98044448849397), (7.387455755466371, 46.98043617909045), (7.387458897797991, 46.98042761766797), (7.387460798842666, 46.98041888667786), (7.387461440292875, 46.980410070204314)]",7.387330007322809,46.980410010347335
0,8,0,0,0,0,0,0,0,0,10,5,"[(7.466791355296324, 46.94563997915554), (7.466790718352708, 46.94563116248809), (7.466788822591936, 46.945622431030486), (7.4667856862718125, 46.94561386887146), (7.46678133959737, 46.945605558469204), (7.466775824429931, 46.945597579857235), (7.466769193883971, 46.945590009873804), (7.466761511815565, 46.94558292142188), (7.4667528522074145, 46.94557638276681), (7.466743298456328, 46.945570456879295), (7.466732942570104, 46.945565200828604), (7.466721884281406, 46.94556066523318), (7.466710230087292, 46.94555689377319), (7.46669809222364, 46.9455539227696), (7.466685587584227, 46.945551780834656), (7.4666728365950235, 46.945550488596375), (7.466659962054426, 46.94555005849951), (7.466647087950683, 46.945550494686216), (7.466634338267829, 46.945551792955726), (7.466621835791689, 46.945553940805134), (7.466609700927399, 46.94555691754951), (7.466598050539847, 46.945560694521305), (7.466586996828252, 46.94556523534642), (7.4665766462455965, 46.94557049629444), (7.466567098473469, 46.945576426699645), (7.4665584454620815, 46.94558296944935), (7.466550770544719, 46.94559006153342), (7.466544147635213, 46.945597634651406), (7.466538640516101, 46.94560561587027), (7.466534302224338, 46.94561392832665), (7.466531174540531, 46.945622491967164), (7.466529287586528, 46.94563122431942), (7.466528659535329, 46.94564004128609), (7.4665292964360175, 46.94564885795503), (7.466531192155522, 46.945657589416875), (7.466534328437613, 46.945666151582806), (7.4665386750787315, 46.9456744619944), (7.466544190218826, 46.94568244061762), (7.466550820744479, 46.94569001061401), (7.466558502800391, 46.94569709907993), (7.466567162404345, 46.94570363774955), (7.466576716159686, 46.94570956365162), (7.466587072058459, 46.9457148197163), (7.466598130367519, 46.945719355324606), (7.46660978458902, 46.94572312679595), (7.466621922486035, 46.94572609780882), (7.4666344271635054, 46.94572823975063), (7.466647178193998, 46.94572953199317), (7.4666600527775255, 46.94572996209144), (7.466672926924197, 46.94572952590333), (7.466685676648317, 46.94572822762952), (7.4666981791624885, 46.94572607977326), (7.466710314060106, 46.94572310301959), (7.466721964474997, 46.94571932603641), (7.466733018206904, 46.94571478519842), (7.466743368802051, 46.94570952423643), (7.466752916578381, 46.94570359381659), (7.466761569585511, 46.945697051052356), (7.466769244490323, 46.94568995895428), (7.466775867379465, 46.94568238582336), (7.466781374471192, 46.945674404593234), (7.466785712729591, 46.94566609212758), (7.466788840375343, 46.94565752848017), (7.466790727288056, 46.94564879612366), (7.466791355296324, 46.94563997915554)]",7.4666600074159035,46.94564001031433
0,4,0,0,0,2,3,0,0,0,10,6,"[(7.3838413418760345, 46.940200074342286), (7.383840718616699, 46.940191257210046), (7.383838836536815, 46.94018252437567), (7.3838357137624415, 46.94017395994107), (7.383831380368149, 46.94016564638631), (7.383825878087371, 46.940157663775395), (7.383819259910483, 46.94015008898503), (7.383811589574429, 46.94014299496435), (7.383802940948931, 46.94013645003252), (7.3837933973250305, 46.9401305172206), (7.383783050612988, 46.940125253664554), (7.3837720004571255, 46.940120710055204), (7.383760353276175, 46.94011693014967), (7.383748221238471, 46.94011395035044), (7.383735721181692, 46.94011179935443), (7.383722973487669, 46.94011049787686), (7.383710100923071, 46.94011005845152), (7.383697227457111, 46.94011048531041), (7.383684477067689, 46.940111774342576), (7.383671972547423, 46.940113913133985), (7.383659834321142, 46.94011688108711), (7.383648179286111, 46.94012064961898), (7.3836371196863055, 46.940125182436724), (7.383626762031413, 46.940130435887106), (7.3836172060711265, 46.94013635937671), (7.383608543834519, 46.94014289585918), (7.383600858743718, 46.94014998238496), (7.383594224810527, 46.94015755070709), (7.38358870592364, 46.94016552793865), (7.3835843552333555, 46.94017383725476), (7.383581214639673, 46.94018239863228), (7.383579314388772, 46.940191129620544), (7.38357867278171, 46.94019994613542), (7.3835792959981195, 46.9402087632691), (7.383581178036712, 46.94021749610766), (7.383584300773025, 46.94022606054915), (7.383588634133938, 46.94023437411315), (7.383594136387306, 46.94024235673539), (7.383600754543812, 46.94024993153866), (7.383608424867284, 46.94025702557332), (7.383617073488492, 46.94026357051972), (7.383626617116562, 46.94026950334619), (7.383636963841063, 46.940274766916225), (7.383648014017203, 46.940279310538536), (7.383659661225466, 46.940283090455374), (7.3836717932964655, 46.940286070263916), (7.383684293391252, 46.94028822126679), (7.383697041126527, 46.9402895227487), (7.383709913734041, 46.940289962175434), (7.383722787242928, 46.94028953531514), (7.383735537673637, 46.940288246278776), (7.383748042231965, 46.940286107480446), (7.383760180491627, 46.94028313951809), (7.383771835554064, 46.94027937097494), (7.383782895174255, 46.940274838144276), (7.383793252841728, 46.94026958467989), (7.383802808806302, 46.94026366117578), (7.383811471038742, 46.9402571246787), (7.383819156117085, 46.94025003813893), (7.383825790030001, 46.94024246980387), (7.383831308889573, 46.94023449256095), (7.38383565954656, 46.940226183235545), (7.383838800102238, 46.940217621851154), (7.383840700311882, 46.940208890858635), (7.3838413418760345, 46.940200074342286)]",7.383710007328714,46.94020001033232
0,0,0,0,0,2,6,0,0,0,10,7,"[(7.427261353205157, 46.94480002451775), (7.4272607227625, 46.94479120763022), (7.427258833459811, 46.944782475517925), (7.427255703492702, 46.94477391227585), (7.427251363005015, 46.9447656003726), (7.427245853798505, 46.94475761985625), (7.42723922893023, 46.94475004758326), (7.42723155220159, 46.944742956478656), (7.42722289754386, 46.944736414833486), (7.427213348306179, 46.944730485647135), (7.427202996452869, 46.94472522602059), (7.427191941677769, 46.94472068660682), (7.42718029044409, 46.94471691112269), (7.427168154959204, 46.944713935928036), (7.427155652093975, 46.94471178967538), (7.427142902257291, 46.94471049303423), (7.42713002823645, 46.94471005849199), (7.427117154014693, 46.944710490233405), (7.427104403577197, 46.94471178410063), (7.427091899717046, 46.944713927633096), (7.427079762852704, 46.94471690018746), (7.427068109868332, 46.94472067313662), (7.427057052988143, 46.94472521014505), (7.427046698695643, 46.94473046751922), (7.427037146708142, 46.9447363946278), (7.427028489016456, 46.94474293438978), (7.427020808998938, 46.944750023823865), (7.427014180618537, 46.94475759465516), (7.427008667710471, 46.944765573972575), (7.427004323367456, 46.94477388493109), (7.427001189428369, 46.944782447491804), (7.426999296075303, 46.94479117919263), (7.426998661542884, 46.94479999594252), (7.426999291942612, 46.94480881283152), (7.4270011812040195, 46.94481754494804), (7.42700431113308, 46.94482610819698), (7.4270086515874105, 46.94483442010953), (7.4270141607665465, 46.94484240063721), (7.427020785614477, 46.94484997292307), (7.427028462330583, 46.94485706404165), (7.42703711698407, 46.94486360570141), (7.427046666225965, 46.94486953490238), (7.427057018091779, 46.944874794542905), (7.427068072887204, 46.94487933396955), (7.427079724148237, 46.94488310946503), (7.427091859666458, 46.94488608466899), (7.427104362569721, 46.944888230928555), (7.427117112447676, 46.94488952757387), (7.427129986511445, 46.94488996211762), (7.427142860776131, 46.944889530374745), (7.427155611254911, 46.94488823650329), (7.42716811515311, 46.944886092963934), (7.4271802520508015, 46.94488312040028), (7.427191905062554, 46.94487934743984), (7.427202961963088, 46.944874810418455), (7.427213316268124, 46.94486955303035), (7.427222868259866, 46.94486362590718), (7.42723152594734, 46.94485708613064), (7.42723920595235, 46.944849996682535), (7.427245834312429, 46.9448424258383), (7.427251347193141, 46.94483444650955), (7.427255691502817, 46.94482613554177), (7.427258825403871, 46.944817572974195), (7.427260718715662, 46.94480884126913), (7.427261353205157, 46.94480002451775)]",7.427130007373987,46.94480001032363
0,0,0,0,0,0,7,0,0,0,10,8,"[(7.4626114100100365, 46.967999983961626), (7.462610773487775, 46.96799116730573), (7.462608877617277, 46.967982435813475), (7.462605740657408, 46.96797387357381), (7.46260139281936, 46.96796556304565), (7.462595875975667, 46.96795758426388), (7.462589243256949, 46.96795001406831), (7.4625815585402, 46.96794292536391), (7.4625728958336275, 46.967936386418494), (7.4625633385638865, 46.96793046020556), (7.462552978772652, 46.96792520379752), (7.4625419162302, 46.96792066781629), (7.462530257474558, 46.96791689594564), (7.462518114785528, 46.967913924510576), (7.46250560510336, 46.96791178212754), (7.462492848902586, 46.96791048942876), (7.462479969031795, 46.96791005886347), (7.462467089530566, 46.96791049457838), (7.4624543344349235, 46.9679117923772), (7.462441826582803, 46.96791393976153), (7.462429686431123, 46.96791691605107), (7.462418030895693, 46.967920692582524), (7.462406972225305, 46.967925232986076), (7.462396616920696, 46.96793049353533), (7.462387064708934, 46.96793642356846), (7.4623784075829835, 46.96794296597632), (7.462370728915756, 46.96795005775208), (7.462364102657198, 46.96795763059829), (7.462358592622095, 46.96796561158449), (7.462354251875493, 46.96797392384956), (7.462351122221628, 46.967982487342034), (7.46234923380134, 46.96799121959081), (7.4623486048017345, 46.968000036499696), (7.462349241281039, 46.968008853157016), (7.462351137110229, 46.96801758465351), (7.462354274032034, 46.968026146900115), (7.462358621836724, 46.9680344574375), (7.462364138653048, 46.968042436230625), (7.462370771351439, 46.968050006439135), (7.462378456055679, 46.96805709515755), (7.462387118758043, 46.968063634117485), (7.462396676032043, 46.96806956034499), (7.462407035835831, 46.96807481676705), (7.462418098398658, 46.96807935276117), (7.462429757181706, 46.9680831246431), (7.462441899904124, 46.96808609608748), (7.46245440962438, 46.96808823847741), (7.462467165866471, 46.96808953118042), (7.462480045780232, 46.968089961747104), (7.4624929253244225, 46.9680895260308), (7.462505680461374, 46.96808822822773), (7.462518188351556, 46.96808608083646), (7.4625303285365945, 46.96808310453765), (7.462541984099392, 46.96807932799488), (7.462553042790111, 46.968074787578416), (7.462563398107227, 46.96806952701518), (7.462572950323199, 46.96806359696743), (7.46258160744489, 46.968057054545056), (7.4625892860995595, 46.96804996275528), (7.462595912337747, 46.96804238989615), (7.462601422345444, 46.96803440889863), (7.462605763058654, 46.96802609662429), (7.462608892674431, 46.96801753312497), (7.462610781053402, 46.9680088008719), (7.4626114100100365, 46.967999983961626)]",7.462480007405948,46.968000010324126
0,5,0,0,0,0,0,1,2,0,10,9,"[(7.42028136662487, 46.95029003252984), (7.420280737264038, 46.95028121561232), (7.420278848903432, 46.950272483393235), (7.420275719729585, 46.95026391996858), (7.420271379878714, 46.95025560780869), (7.420265871146426, 46.95024762696406), (7.42025924658522, 46.95024005429442), (7.420251569993538, 46.95023296272861), (7.420242915301336, 46.950226420562), (7.420233365858082, 46.95022049079907), (7.420223013630091, 46.95021523054644), (7.4202119583147885, 46.95021069046304), (7.420200306380607, 46.950206914272165), (7.420188170041651, 46.95020393834042), (7.42017566617702, 46.95020179132751), (7.420162915205224, 46.95020049391029), (7.420150039924486, 46.95020005858348), (7.420137164330188, 46.950200489539526), (7.420124412420727, 46.950201782628106), (7.420111907003354, 46.950203925396146), (7.4200997685115375, 46.950206897207686), (7.420088113845105, 46.95021066944269), (7.420077055244475, 46.95021520577268), (7.420066699209719, 46.950220462510416), (7.420057145474927, 46.95022638903096), (7.420048486047738, 46.9502329282588), (7.420040804323223, 46.95024001721784), (7.42003417428077, 46.95024758763772), (7.420028659771603, 46.950255566611325), (7.420024313903859, 46.95026387729698), (7.420021178531094, 46.950272439658384), (7.420019283849213, 46.95028117123537), (7.420018648105637, 46.95028998793815), (7.420019277423528, 46.95029880485707), (7.420021165742844, 46.9503075370804), (7.420024294878627, 46.95031610051201), (7.420028634696134, 46.95032441268116), (7.420034143401035, 46.9503323935371), (7.420040767941883, 46.95033996621962), (7.4200484445210195, 46.95034705779945), (7.420057099208971, 46.950353599980616), (7.420066648656429, 46.950359529758124), (7.420077000896926, 46.950364790024736), (7.420088056232548, 46.95036933012104), (7.420099708194084, 46.95037310632327), (7.420111844566375, 46.95037608226432), (7.420124348469045, 46.95037822928407), (7.420137099482123, 46.950379526705596), (7.420149974805792, 46.9503799620338), (7.420162850443029, 46.95037953107635), (7.420175602393785, 46.95037823798349), (7.420188107849216, 46.950376095208604), (7.420200246374398, 46.95037312338777), (7.42021190106822, 46.95036935114146), (7.420222959689208, 46.95036481479859), (7.420233315736511, 46.95035955804683), (7.420242869475548, 46.950353631511724), (7.420251528898531, 46.95034709226934), (7.420259210610546, 46.95034000329631), (7.420265840632677, 46.9503324328635), (7.42027135511449, 46.950324453878544), (7.420275700948901, 46.95031614318361), (7.420278836283625, 46.95030758081534), (7.420280730924225, 46.95029884923409), (7.42028136662487, 46.95029003252984)]",7.420150007365196,46.95029001032749
0,4,0,0,0,2,1,1,0,0,10,10,"[(7.435531385289827, 46.957910015032915), (7.435530753334914, 46.9579011982112), (7.4355288622256, 46.9578924662555), (7.435525730174886, 46.957883903259216), (7.435521387346689, 46.95787559168865), (7.435515875565301, 46.95786761158858), (7.435509247912572, 46.957860039811635), (7.435501568216727, 46.957852949277886), (7.435492910437616, 46.9578464082729), (7.435483357954431, 46.957840479789965), (7.435473002762761, 46.957835220923336), (7.43546194458858, 46.957830682318566), (7.435450289927848, 46.95782690768477), (7.435438151020933, 46.95782393337356), (7.43542564477166, 46.957821788029015), (7.4354128916215005, 46.95782049231187), (7.435400014389667, 46.95782005870058), (7.4353871370903235, 46.95782049137101), (7.435374383738286, 46.95782178615628), (7.435361877154703, 46.95782393058705), (7.435349737784273, 46.9578269040113), (7.435338082535285, 46.957830677793545), (7.435327023653765, 46.95783521559026), (7.435316667642494, 46.95784047370023), (7.435307114235333, 46.95784640148523), (7.4352984554367705, 46.95785294185757), (7.435290774635817, 46.95786003183012), (7.435284145802971, 46.95786760312281), (7.435278632777806, 46.95787558282011), (7.435274288654167, 46.957883894073305), (7.435271155268815, 46.95789245684069), (7.43526926279852, 46.95790118865815), (7.435268629469392, 46.95791000543368), (7.435269261381354, 46.95791882225682), (7.435271152449371, 46.95792755421676), (7.435274284462021, 46.957936117219916), (7.435278627256853, 46.95794442879979), (7.435284139010864, 46.95795240891117), (7.435290766643239, 46.95795998070107), (7.435298446326551, 46.95796707124877), (7.4353071041014305, 46.95797361226832), (7.4353166565888404, 46.957979540765834), (7.435327011793032, 46.957984799646475), (7.435338069987553, 46.95798933826411), (7.43534972467566, 46.95799311290923), (7.435361863615935, 46.95799608722973), (7.435374369903265, 46.95799823258119), (7.435387123094717, 46.957999528302565), (7.435400000369502, 46.957999961915284), (7.435412877711793, 46.957999529243445), (7.435425631105133, 46.95799823445392), (7.435438137726774, 46.957996090016266), (7.435450277130571, 46.95799311658272), (7.435461932406942, 46.95798934278917), (7.435472991308809, 46.957984804979546), (7.435483347332614, 46.95797954685553), (7.435492900744008, 46.95797361905603), (7.435501559538348, 46.9579670786691), (7.435509240326778, 46.957959988682546), (7.435515869139282, 46.95795241737699), (7.435521382137074, 46.95794443766837), (7.435525726227357, 46.95793612640583), (7.435528859574648, 46.957927563631564), (7.435530752003652, 46.95791883180985), (7.435531385289827, 46.957910015032915)]",7.435400007379598,46.957910010326785
