,hour,logger,uhi,Name,x,y,city_index
0,0,1,1.7906411192214113,VonRoll PH,7.422530007367092,46.952920010309846,0.33339585041812425
1,0,2,1.6950900243309006,Europaplatz,7.406330007352139,46.94333001030998,0.23784475552761344
2,0,3,,Rathausgasse II: ca. Höhe Taube (Bar),7.449250007396659,46.94851001030159,
3,0,4,,Uettligen Umland,7.387330007322806,46.980410010329194,
4,0,5,,Sportplatz/Familiengarten vor Egelsee,7.466660007415903,46.94564001029619,
5,0,6,,Bümpliz Fröschmattstrasse,7.383710007328713,46.94020001031418,
6,0,7,2.561069343065695,Kreuzung Brunmatt- Schwarztorstrasse,7.427130007373983,46.9448000103055,1.103824074262406
7,0,8,2.2194257907542574,Wankdorf ESP,7.462480007405949,46.968000010306014,0.7621805219509702
8,0,9,0.6725596107055969,Bremgartenfriedhof,7.420150007365196,46.95029001030935,-0.7846856580976909
9,0,10,1.6144353741496626,"Länggasse, Neufeldstrasse 135",7.435400007379597,46.95791001030868,0.390643496346933
10,0,11,,Viererfeld Veloweg,7.439820007383185,46.96249001030941,
11,0,12,,Egelsee Süd I: Gantrischstrasse 52,7.471940007421184,46.94701001029548,
12,0,13,0.5514501216545017,Egelsee,7.46442000741375,46.944710010296376,-0.9057951471487858
13,0,14,2.3364829683698325,Helvetiaplatz,7.4488500073973904,46.9438100102998,0.8792376995665443
14,0,15,,Waisenhausplatz I (Ostseite): Vor Rest. Il Grissino,7.444180007390958,46.94973001030329,
15,0,16,2.757656934306573,Bubenbergplatz,7.43849000738549,46.947290010303725,1.300411665503283
16,0,17,1.285913625304137,Rosengarten,7.460190007407476,46.95189001030023,-0.17133164349915042
17,0,18,,Aegertenstrasse 53,7.44738000739709,46.938610010298106,
18,0,19,1.8033905109489048,Galgenfeld Neubausiedlung,7.469920007418139,46.95065001029735,0.3461452421456178
19,0,20,,Umland Köniz,7.394688007349359,46.903399010296745,
20,0,21,1.7504708029197096,Gaswerkareal Industrie EWB,7.442130007391281,46.93950001029973,0.2932255341164211
21,0,22,2.1379501216544985,Matte Mühleplatz,7.456200007404462,46.9468700102992,0.6807048528512148
22,0,23,1.0345815085158163,"Ostermundigen, Ahornstr 16",7.498720007447492,46.955750010292306,-0.4226637602874716
23,0,25,0.537895377128954,Köniz Neubausiedlung,7.420310007370841,46.92781001030039,-0.9193498916743316
24,0,26,2.4141581508515815,Inselspital,7.425670007371844,46.9471900103068,0.9569128820482942
25,0,28,2.187336982968369,Pärkli bei Eigerplatz,7.430970007378787,46.94192001030345,0.7300917141650819
26,0,29,,"Paul Klee, Senke Familienspaziergang",7.471240007420048,46.94861001029625,
27,0,30,2.317215328467154,Galgenfeld Industrie,7.471940007419083,46.955550010298815,0.8599700596638654
28,0,31,-0.5619343065693428,Köniz Aussenquartier,7.40995000736157,46.92041001029995,-2.019179575372628
29,0,32,-0.10819829683698293,Bremgartenwald,7.421280007364668,46.95739001031192,-1.5654435656402688
30,0,33,0.4806435523114352,Dählhölzli-Wald,7.456560007407028,46.93798001029559,-0.9766017164918522
31,0,34,2.0747068126520696,Kasernenareal,7.458020007403921,46.956960010302794,0.617461543848781
32,0,35,,Egelsee Süd II: Bürglenstrasse 28,7.468870007418369,46.94518001029547,
33,0,36,2.5861399026763987,Viktoriarain,7.447720007393389,46.955190010304555,1.1288946338731118
34,0,37,2.121423357664232,"Lorraine, Steckweg 15",7.445140007389721,46.95896001030669,0.6641780888609468
35,0,38,0.9102311435523123,Spiegel,7.437390007389503,46.92607001029553,-0.5470141252509757
36,0,39,0.9424489051094906,Weyermannshaus Industrie,7.401340007345453,46.94890001031339,-0.5147963636937972
37,0,40,,Rathausgasse I: St. Peter & Paul Kirche,7.451930007399494,46.948580010300944,
38,0,41,,Monbijou-Park,7.434620007382696,46.94187001030251,
39,0,42,3.015879562043795,Gerechtigkeitsgasse 55,7.453510007401292,46.94813001030042,1.558634293240508
40,0,45,2.676906326034067,Zytglogge,7.447410007394757,46.948280010301936,1.2196610572307771
41,0,46,,Autobahnausfahrt Wankdorf,7.469680007413809,46.96717001030396,
42,0,47,,Waisenhausplatz III (Mitte): Neben Brunnen,7.444180007390933,46.94984001030337,
43,0,48,0.8829294403892951,Viererfeld,7.438210007380827,46.96510001031086,-0.5743158284139921
44,0,50,,Kreuzung Familienspaziergang / Laubeggstrasse,7.468330007417479,46.94644001029608,
45,0,51,1.6801289537712938,Bümpliz Stöckacker,7.395870007341035,46.94302001031233,0.22288368496800282
46,0,52,-1.7046021897810235,Umland Bümpliz,7.36586000731119,46.93362001031585,-3.1618474585843117
47,0,53,2.35094890510949,"Breitenrain, Waffenweg",7.451910007396245,46.96174001030618,0.8937036363062018
48,0,54,,Waisenhausplatz IV (Pocketpark): vor Starbucks,7.443760007390743,46.94879001030303,
49,0,55,2.4081082725060843,Bollwerk (Strasseninsel),7.440770007386882,46.95152001030483,0.9508630037027952
50,0,57,2.1293321167883223,Eigerplatz,7.4313300073794535,46.94077001030289,0.6720868479850343
51,0,58,0.8415656934306572,Murifeld (vor Wohnturm 3),7.480070007431756,46.93919001029033,-0.61567957537263
52,0,59,0.40446350364963524,Schlossmatte Familiengärten,7.416890007363716,46.942110010306926,-1.052781765153652
53,0,60,,Roschistrasse,7.438870007388879,46.935080010298755,
54,0,61,1.0083771289537726,Westside Center,7.374780007317862,46.945550010318485,-0.4488681398495159
55,0,62,0.6883394160583931,Felsenhaldenweg,7.441160007381786,46.97400001031361,-0.7689058527448932
56,0,63,,"Wylergut, Jaunweg 11",7.449220007391924,46.96766001030916,
