,logger,summer_days,tropical_nights,Name,x,y
0,1,23,3,VonRoll PH,7.422530007367092,46.952920010309846
1,2,25,2,Europaplatz,7.406330007352139,46.94333001030998
2,3,0,0,Rathausgasse II: ca. Höhe Taube (Bar),7.449250007396659,46.94851001030159
3,4,0,0,Uettligen Umland,7.387330007322806,46.980410010329194
4,5,0,0,Sportplatz/Familiengarten vor Egelsee,7.466660007415903,46.94564001029619
5,6,0,0,Bümpliz Fröschmattstrasse,7.383710007328713,46.94020001031418
6,7,32,3,Kreuzung Brunmatt- Schwarztorstrasse,7.427130007373983,46.9448000103055
7,8,22,3,Wankdorf ESP,7.462480007405949,46.968000010306014
8,9,20,0,Bremgartenfriedhof,7.420150007365196,46.95029001030935
9,10,2,1,"Länggasse, Neufeldstrasse 135",7.435400007379597,46.95791001030868
10,11,0,0,Viererfeld Veloweg,7.439820007383185,46.96249001030941
11,12,0,0,Egelsee Süd I: Gantrischstrasse 52,7.471940007421184,46.94701001029548
12,13,14,0,Egelsee,7.46442000741375,46.944710010296376
13,14,28,2,Helvetiaplatz,7.4488500073973904,46.9438100102998
14,15,0,0,Waisenhausplatz I (Ostseite): Vor Rest. Il Grissino,7.444180007390958,46.94973001030329
15,16,24,2,Bubenbergplatz,7.43849000738549,46.947290010303725
16,17,19,0,Rosengarten,7.460190007407476,46.95189001030023
17,18,0,0,Aegertenstrasse 53,7.44738000739709,46.938610010298106
18,19,23,2,Galgenfeld Neubausiedlung,7.469920007418139,46.95065001029735
19,20,0,0,Umland Köniz,7.394688007349359,46.903399010296745
20,21,26,1,Gaswerkareal Industrie EWB,7.442130007391281,46.93950001029973
21,22,31,3,Matte Mühleplatz,7.456200007404462,46.9468700102992
22,23,24,0,"Ostermundigen, Ahornstr 16",7.498720007447492,46.955750010292306
23,25,17,0,Köniz Neubausiedlung,7.420310007370841,46.92781001030039
24,26,19,3,Inselspital,7.425670007371844,46.9471900103068
25,28,28,2,Pärkli bei Eigerplatz,7.430970007378787,46.94192001030345
26,29,0,0,"Paul Klee, Senke Familienspaziergang",7.471240007420048,46.94861001029625
27,30,30,3,Galgenfeld Industrie,7.471940007419083,46.955550010298815
28,31,21,0,Köniz Aussenquartier,7.40995000736157,46.92041001029995
29,32,9,0,Bremgartenwald,7.421280007364668,46.95739001031192
30,33,9,0,Dählhölzli-Wald,7.456560007407028,46.93798001029559
31,34,25,3,Kasernenareal,7.458020007403921,46.956960010302794
32,35,0,0,Egelsee Süd II: Bürglenstrasse 28,7.468870007418369,46.94518001029547
33,36,26,3,Viktoriarain,7.447720007393389,46.955190010304555
34,37,24,3,"Lorraine, Steckweg 15",7.445140007389721,46.95896001030669
35,38,28,0,Spiegel,7.437390007389503,46.92607001029553
36,39,22,0,Weyermannshaus Industrie,7.401340007345453,46.94890001031339
37,40,0,0,Rathausgasse I: St. Peter & Paul Kirche,7.451930007399494,46.948580010300944
38,41,0,0,Monbijou-Park,7.434620007382696,46.94187001030251
39,42,22,4,Gerechtigkeitsgasse 55,7.453510007401292,46.94813001030042
40,45,21,3,Zytglogge,7.447410007394757,46.948280010301936
41,46,0,0,Autobahnausfahrt Wankdorf,7.469680007413809,46.96717001030396
42,47,0,0,Waisenhausplatz III (Mitte): Neben Brunnen,7.444180007390933,46.94984001030337
43,48,18,0,Viererfeld,7.438210007380827,46.96510001031086
44,50,0,0,Kreuzung Familienspaziergang / Laubeggstrasse,7.468330007417479,46.94644001029608
45,51,19,2,Bümpliz Stöckacker,7.395870007341035,46.94302001031233
46,52,14,0,Umland Bümpliz,7.36586000731119,46.93362001031585
