,logger,summer_days,tropical_nights,Name,x,y
0,201,9,6,Robert-Walser-Platz,7.241111393028388,47.13079517749481
1,202,11,6,Hafen,7.236273281519853,47.130697668001005
2,203,11,10,Zentralplatz,7.2469608738162705,47.136632907460786
3,204,11,3,Stadtpark,7.253368987131442,47.14103925664875
4,205,12,3,Ile de la Suze,7.265148929721899,47.14474113093907
5,206,11,0,rural reference,7.295157258049944,47.13854844317897
6,207,10,0,Swiss Meteo Reference,7.415043620428569,47.17900519328959
7,208,11,2,Möösli,7.262326212167894,47.13000983323275
8,209,10,7,Madrestch-Piano,7.25576387028088,47.135385241082226
9,210,11,8,Congresshaus,7.248791114258848,47.134961027557246
10,211,11,6,Mühlefeld,7.249229243522805,47.12814316650811
11,212,11,4,Seepark,7.230545882730043,47.133873786834684
12,213,11,1,Port NBK,7.253961623819155,47.11991929762015
13,214,11,3,Längholz,7.266219234607871,47.12849563209389
14,215,9,7,Old City,7.245634985865393,47.14201400637538
15,216,11,6,Nidau-mittestrasse,7.238831053622557,47.125199475937286
16,217,12,2,Geyisreid,7.283673321069929,47.14427564935802
17,218,11,9,Bahnhof,7.243143648481159,47.13334736683636
18,219,11,11,New City,7.246485268059931,47.13873185875089
19,220,9,9,Altersheim-Neumarkt,7.2512860040606695,47.13730019991995
20,221,11,6,Champagne-Piano,7.263613252816366,47.14665459886711
21,222,11,6,Spital,7.244246935126219,47.147034375760036
22,223,13,6,Altersheim-erlacher,7.2573452439864825,47.1258438271483
23,224,9,4,Bözingen,7.271159682945557,47.15111046676412
24,225,11,5,Swisstennis,7.2784280163168065,47.159005975110944
25,226,12,5,Port Thielle,7.25094956021827,47.12243292332993
26,227,11,7,Altersheim-redenweg,7.260944155574042,47.15039277997535
27,228,11,5,Südstrasse,7.271442786808509,47.14221612603856
28,229,11,6,Viaductstrasse,7.238633407181197,47.135700564647706
29,230,4,1,Vingelz,7.220957635875876,47.13074150165554
30,231,8,6,Nidau-Lac,7.232283739199284,47.12621951507841
31,232,12,7,Champagne-Blumen,7.255567533607622,47.14423869874925
32,233,12,7,Madretsch-Zukunft,7.249217573272106,47.13327968634356
33,234,12,1,Bözingenfeld,7.292273509911332,47.15891885527405
34,235,10,4,Altersheim-Reid,7.256578930803547,47.15067194726373
35,236,10,3,Taubenloch,7.267614387206042,47.15370810175957
36,237,11,3,Rolex,7.292424384479668,47.16303529232208
37,238,7,6,Museum,7.241696082617558,47.13892945858104
38,239,4,5,Nidau-wald,7.232609634845101,47.12543119683497
39,240,0,0,Längholz-replacement,7.26624170539283,47.128434760378624
