,hour,logger,uhi,Name,x,y,city_index
0,0,201,3.640948717948718,Robert-Walser-Platz,7.241111393028388,47.13079517749481,0.8480189789342963
1,0,202,3.00046153846154,Hafen,7.236273281519853,47.130697668001005,0.20753179944711697
2,0,203,4.2887435897435875,Zentralplatz,7.2469608738162705,47.136632907460786,1.4958138507291687
3,0,204,2.4843846153846156,Stadtpark,7.253368987131442,47.14103925664875,-0.3085451236298063
4,0,205,2.7732948717948718,Ile de la Suze,7.265148929721899,47.14474113093907,-0.019634867219549844
5,0,206,0.0,rural reference,7.295157258049944,47.13854844317897,-2.7929297390144208
6,0,207,-0.3225128205128206,Swiss Meteo Reference,7.415043620428569,47.17900519328959,-3.115442559527242
7,0,208,2.9682564102564095,Möösli,7.262326212167894,47.13000983323275,0.17532667124198825
8,0,209,3.835025641025641,Madrestch-Piano,7.25576387028088,47.135385241082226,1.042095902011219
9,0,210,3.818461538461537,Congresshaus,7.248791114258848,47.134961027557246,1.025531799447117
10,0,211,3.1546410256410264,Mühlefeld,7.249229243522805,47.12814316650811,0.36171128662660385
11,0,212,2.109333333333334,Seepark,7.230545882730043,47.133873786834684,-0.6835964056810883
12,0,213,2.01925641025641,Port NBK,7.253961623819155,47.11991929762015,-0.7736733287580122
13,0,214,2.2627692307692304,Längholz,7.266219234607871,47.12849563209389,-0.5301605082451911
14,0,215,3.1544102564102556,Old City,7.245634985865393,47.14201400637538,0.3614805173958347
15,0,216,3.2259487179487185,Nidau-mittestrasse,7.238831053622557,47.125199475937286,0.4330189789342964
16,0,217,2.0026794871794875,Geyisreid,7.283673321069929,47.14427564935802,-0.7902502518349348
17,0,218,4.288679487179484,Bahnhof,7.243143648481159,47.13334736683636,1.4957497481650657
18,0,219,4.149564102564102,New City,7.246485268059931,47.13873185875089,1.356634363549681
19,0,220,4.033820512820513,Altersheim-Neumarkt,7.2512860040606695,47.13730019991995,1.2408907738060913
20,0,221,3.3668205128205124,Champagne-Piano,7.263613252816366,47.14665459886711,0.5738907738060909
21,0,222,2.884935897435897,Spital,7.244246935126219,47.147034375760036,0.09200615842147591
22,0,223,3.468833333333333,Altersheim-erlacher,7.2573452439864825,47.1258438271483,0.6759035943189116
23,0,224,2.7128846153846147,Bözingen,7.271159682945557,47.15111046676412,-0.0800451236298062
24,0,225,2.753534188034188,Swisstennis,7.2784280163168065,47.159005975110944,-0.03939555098023366
25,0,226,3.081166666666666,Port Thielle,7.25094956021827,47.12243292332993,0.2882369276522449
26,0,227,3.243269230769232,Altersheim-redenweg,7.260944155574042,47.15039277997535,0.45033949175480903
27,0,228,2.921910256410256,Südstrasse,7.271442786808509,47.14221612603856,0.12898051739583458
28,0,229,2.9130512820512817,Viaductstrasse,7.238633407181197,47.135700564647706,0.1201215430368606
29,0,230,2.1585238095238104,Vingelz,7.220957635875876,47.13074150165554,-0.016260005426671414
30,0,231,2.434269230769231,Nidau-Lac,7.232283739199284,47.12621951507841,-0.35866050824519125
31,0,232,3.660820512820511,Champagne-Blumen,7.255567533607622,47.14423869874925,0.8678907738060909
32,0,233,3.695192307692308,Madretsch-Zukunft,7.249217573272106,47.13327968634356,0.9022625686778852
33,0,234,1.2657820512820517,Bözingenfeld,7.292273509911332,47.15891885527405,-1.5271476877323702
34,0,235,2.7201025641025636,Altersheim-Reid,7.256578930803547,47.15067194726373,-0.07282717491185774
35,0,236,1.070102564102564,Taubenloch,7.267614387206042,47.15370810175957,-1.7228271749118578
36,0,237,2.1314102564102564,Rolex,7.292424384479668,47.16303529232208,-0.6615194826041656
37,0,238,2.586217948717948,Museum,7.241696082617558,47.13892945858104,-0.20671179029647307
38,0,239,2.3416153846153853,Nidau-wald,7.232609634845101,47.12543119683497,-0.4513143543990373
39,0,240,,Längholz-replacement,7.26624170539283,47.128434760378624,
40,1,201,3.5657179487179493,Robert-Walser-Platz,7.241111393028388,47.13079517749481,0.9089852244022288
41,1,202,2.8381538461538462,Hafen,7.236273281519853,47.130697668001005,0.18142112183812606
42,1,203,4.189782051282051,Zentralplatz,7.2469608738162705,47.136632907460786,1.533049326966331
43,1,204,2.405871794871795,Stadtpark,7.253368987131442,47.14103925664875,-0.2508609294439252
44,1,205,2.647294871794871,Ile de la Suze,7.265148929721899,47.14474113093907,-0.00943785252084822
45,1,206,0.0,rural reference,7.295157258049944,47.13854844317897,-2.656732724315721
46,1,207,-0.6009230769230771,Swiss Meteo Reference,7.415043620428569,47.17900519328959,-3.257655801238797
47,1,208,2.7067435897435894,Möösli,7.262326212167894,47.13000983323275,0.050010865427869554
48,1,209,3.7687692307692315,Madrestch-Piano,7.25576387028088,47.135385241082226,1.1120365064535105
49,1,210,3.7321794871794864,Congresshaus,7.248791114258848,47.134961027557246,1.0754467628637674
50,1,211,2.996923076923076,Mühlefeld,7.249229243522805,47.12814316650811,0.340190352607357
51,1,212,2.000153846153846,Seepark,7.230545882730043,47.133873786834684,-0.6565788781618739
52,1,213,1.666371794871796,Port NBK,7.253961623819155,47.11991929762015,-0.9903609294439253
53,1,214,2.060538461538462,Längholz,7.266219234607871,47.12849563209389,-0.5961942627772581
54,1,215,3.1503974358974367,Old City,7.245634985865393,47.14201400637538,0.4936647115817163
55,1,216,3.018551282051282,Nidau-mittestrasse,7.238831053622557,47.125199475937286,0.36181855773556204
56,1,217,1.8498205128205132,Geyisreid,7.283673321069929,47.14427564935802,-0.8069122114952068
57,1,218,4.200717948717947,Bahnhof,7.243143648481159,47.13334736683636,1.543985224402229
58,1,219,4.094576923076924,New City,7.246485268059931,47.13873185875089,1.437844198761203
